Item,Price (USD),Quantity,Use,Link
KTT Kang White V3 Switches,24.89,1 pack (90 pcs),Mechanical key switches,https://www.aliexpress.us/item/3256807301426125.html
WS2812B LED Strip 5V 2m 30 LEDs,5.16,1 strip (2m),Keyboard backlighting,https://www.aliexpress.us/item/3256804103077154.html
Teensy 2.0 Microcontroller,9.18,1,Keyboard MCU,https://www.aliexpress.us/item/3256803067426595.html
USB Adapter 20cm V8F-V3ST,2.24,1,USB connection adapter,https://www.aliexpress.us/item/3256805661411472.html
Transparent Keycaps Set,18.82,1 set,Keycaps,https://www.aliexpress.us/item/3256809158263730.html
1/8 in Acrylic Sheet,15.00,1 sheet,Keyboard plate and backplate,Makerspace purchase
M2 Screws 4mm,2.24,1 pack,Mount PCB to case,https://www.aliexpress.us/item/3256806812715286.html
M3 Screws,0.00,Owned,General assembly,Already owned
Custom PCBs (JLCPCB),33.74,5 boards,Keyboard PCB fabrication,JLCPCB
Keyboard Diodes,2.38,2 packs,Switch matrix diodes,https://www.aliexpress.us/item/3256806058794623.html
Gateron V2 Stabilizers Kit,10.00,1 kit,Stabilize larger keys,https://mechanicalkeyboards.com/products/gateron-v2-stabilizers-plate-mount-clip-in-tkl-kit
TOTAL (No tax/shipping),123.65,,,
FINAL TOTAL,121.32,,,
